,Agent,Probabilistic Reasoning,Horizon Task,Restless Bandit,Instrumental Learning,Two Step Task,BART,Agent_ci,Probabilistic Reasoning_ci,Horizon Task_ci,Restless Bandit_ci,Instrumental Learning_ci,Two Step Task_ci,BART_ci
0,GPT-4,0.9023843178003348,2.5616718729423607,1.5067004730172278,1.5798778527804593,1.5133905675103176,0.38500339097999314,GPT-4,0.1321855921175766,0.32601478190668737,0.1206790299903343,0.723622051657155,0.9762550781596039,0.1060708390872204
1,GPT-3.5,0.7486550712024966,1.9910866496392539,0.4809112512555779,0.7232401157184193,1.4910692384881277,0.014111693664084301,GPT-3.5,0.13626983634408002,0.3414222650768884,0.22915531981455028,0.7230613989438085,0.976321279257046,0.09402914156603344
2,GPT-3,0.7828931391829572,1.4893719913869494,0.12204043540423505,0.4130504660880744,1.100445980599848,0.07426246185147506,GPT-3,0.12787059500438888,0.19260381551125277,0.1400160081566184,1.2532543553807673,0.6909835373914166,0.0
3,Claude 1,0.8661789836861621,1.6367517006983248,0.9192817031169805,0.892633920599206,1.7366038577321938,0.022414377755171244,Claude 1,0.014800731479486887,0.10640961234045043,0.21571788662028693,0.36331575933748755,0.9755388385371356,0.05373127597250343
4,Claude 2,0.9837727962387371,1.7282884502769695,0.20324762694341997,1.1589216989409838,0.4862928178936293,0.04908443540183113,Claude 2,0.009612390842191017,0.10581158386752876,0.3014194551520603,0.5179519787171498,0.8238034253139583,0.009893450901144017
5,Claude 3,0.9380825048806724,2.078410140789585,1.2350136125713265,1.1025393764063014,0.3526814583565615,0.006188538487622924,Claude 3,0.09733502897075721,0.3282577343256385,0.152514091177587,0.7402724170130903,0.9783947792322534,0.016398794848788242
36,Llama,0.5909309834901845,0.6093284001136539,0.009119937333717767,0.22741883638701077,0.13838778013156613,0.012716174974567654,Llama,0.038107189777225596,0.0761897452617687,0.05108973723541939,0.14882898134451691,0.1786061039386288,0.009247705168291653
45,Centaur,0.7615643281005462,2.0909918585453404,0.5409607725515271,0.24509803921568601,0.4040205151075923,0.024398101051203783,Centaur,0.03610349179665707,0.10651043893190425,0.13297999521616086,0.23236684298167481,0.30931376526719956,0.012194726359166009
47,Human,1.0,1.0,1.0,1.0,1.0,1.0,Human,0.013262564207610785,0.11999477579135502,0.08992596737914589,0.2342977192238481,1.5461889379959568,0.19695222552040062
